data,mandante,placar_m,placar_v,visitante,p_m,p_v,tc_m,tc_v,cg_m,cg_v,d_m,d_v,local,campeonato,links
2021-07-25,Athletico Paranaense,2,1,Internacional,0.53,0.47,11,13,4,3,0.5,0.51,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204791
2021-07-25,Santos,0,1,Atlético-GO,0.75,0.25,29,7,2,2,0.5,0.51,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204795
2021-07-25,Flamengo,5,1,São Paulo,0.58,0.42,12,18,8,6,0.55,0.45,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204790
2021-07-25,Fortaleza,1,0,Red Bull Bragantino,0.34,0.66,14,13,4,4,0.46,0.54,Castelão,Brasileirão Série A,/pt-br/match/2204796
2021-07-25,Atlético-MG,3,0,Bahia,0.6,0.4,12,11,5,5,0.46,0.54,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204788
2021-07-24,Palmeiras,1,0,Fluminense,0.5,0.5,10,9,1,3,0.49,0.51,Allianz Parque,Brasileirão Série A,/pt-br/match/2204794
2021-07-24,Grêmio,1,1,América-MG,0.52,0.48,12,18,4,7,0.51,0.49,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204792
2021-07-19,América-MG,0,1,Sport Recife,0.64,0.36,16,11,3,5,0.53,0.47,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204777
2021-07-18,Internacional,1,0,Juventude,0.51,0.49,14,11,5,4,0.5,0.5,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204784
2021-07-18,Red Bull Bragantino,2,2,Santos,0.39,0.61,11,16,5,5,0.53,0.47,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204785
2021-07-18,Bahia,0,5,Flamengo,0.35,0.65,11,16,3,10,0.43,0.57,Arena Fonte Nova,Brasileirão Série A,/pt-br/match/2204779
2021-07-18,Atlético-GO,0,3,Palmeiras,0.58,0.42,11,15,1,6,0.46,0.54,Estádio Serra Dourada,Brasileirão Série A,/pt-br/match/2204778
2021-07-18,Chapecoense,2,3,Cuiabá,0.41,0.59,11,11,6,6,0.51,0.49,Arena Condá,Brasileirão Série A,/pt-br/match/2204781
2021-07-17,Fluminense,0,1,Grêmio,0.57,0.43,10,8,2,1,0.46,0.54,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204783
2021-07-17,Corinthians,1,2,Atlético-MG,0.37,0.63,12,13,2,8,0.59,0.41,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204782
2021-07-17,Ceará,1,0,Athletico Paranaense,0.53,0.47,21,9,4,1,0.61,0.4,Castelão,Brasileirão Série A,/pt-br/match/2204780
2021-07-17,São Paulo,0,1,Fortaleza,0.59,0.41,10,9,3,4,0.45,0.55,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204786
2021-11-07,Fortaleza,1,0,Corinthians,0.43,0.57,16,7,4,1,0.52,0.48,Castelão,Brasileirão Série A,/pt-br/match/2204771
2021-11-07,Cuiabá,2,2,Ceará,0.41,0.59,11,20,3,7,0.47,0.53,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204769
2021-11-07,Flamengo,2,1,Chapecoense,0.72,0.28,24,13,7,4,0.5,0.5,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204770
2021-11-07,Juventude,1,1,Atlético-GO,0.51,0.49,15,8,3,4,0.51,0.5,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204773
2021-10-07,América-MG,0,1,Atlético-MG,0.49,0.51,12,13,2,5,0.46,0.54,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204767
2021-10-07,Sport Recife,1,2,Fluminense,0.49,0.51,11,13,3,9,0.44,0.56,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204775
2021-10-07,São Paulo,1,0,Bahia,0.63,0.37,15,6,6,2,0.47,0.53,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204776
2021-10-07,Athletico Paranaense,2,2,Red Bull Bragantino,0.55,0.45,22,16,6,4,0.49,0.51,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204768
2021-10-07,Grêmio,0,0,Internacional,0.51,0.49,11,16,2,8,0.5,0.5,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204772
2021-10-07,Palmeiras,3,2,Santos,0.35,0.65,14,12,7,2,0.55,0.45,Allianz Parque,Brasileirão Série A,/pt-br/match/2204774
2021-08-07,Chapecoense,0,1,Corinthians,0.42,0.58,14,12,4,5,0.44,0.56,Arena Condá,Brasileirão Série A,/pt-br/match/2204760
2021-07-07,Fluminense,0,0,Ceará,0.64,0.36,16,7,5,2,0.45,0.55,São Januario,Brasileirão Série A,/pt-br/match/2204761
2021-07-07,Internacional,0,2,São Paulo,0.52,0.48,9,11,2,5,0.51,0.49,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204763
2021-07-07,Atlético-GO,1,1,Sport Recife,0.57,0.43,13,11,4,3,0.56,0.44,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204757
2021-07-07,Atlético-MG,2,1,Flamengo,0.49,0.51,12,16,6,6,0.37,0.63,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204758
2021-07-07,Palmeiras,2,0,Grêmio,0.47,0.53,18,12,6,4,0.51,0.49,Allianz Parque,Brasileirão Série A,/pt-br/match/2204764
2021-07-07,Red Bull Bragantino,1,1,Cuiabá,0.54,0.46,10,9,1,2,0.58,0.42,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204759
2021-07-07,Fortaleza,4,0,América-MG,0.56,0.44,16,11,5,3,0.59,0.41,Castelão,Brasileirão Série A,/pt-br/match/2204762
2021-07-07,Bahia,1,0,Juventude,0.53,0.47,8,9,2,3,0.44,0.56,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204765
2021-06-07,Santos,2,1,Athletico Paranaense,0.54,0.46,18,11,9,2,0.46,0.54,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204766
2021-04-07,Grêmio,0,1,Atlético-GO,0.63,0.37,21,10,4,5,0.48,0.52,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204754
2021-04-07,Ceará,2,0,Juventude,0.64,0.36,12,4,5,3,0.4,0.6,Castelão,Brasileirão Série A,/pt-br/match/2204749
2021-04-07,Cuiabá,0,1,Atlético-MG,0.6,0.4,11,4,4,1,0.51,0.49,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204752
2021-04-07,São Paulo,1,2,Red Bull Bragantino,0.48,0.52,9,12,6,5,0.51,0.49,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204753
2021-04-07,Sport Recife,0,1,Palmeiras,0.49,0.51,13,14,1,5,0.42,0.58,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204755
2021-04-07,Flamengo,0,1,Fluminense,0.67,0.33,21,11,4,5,0.6,0.4,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204756
2021-04-07,Chapecoense,0,2,Bahia,0.47,0.53,7,13,1,6,0.5,0.5,Arena Condá,Brasileirão Série A,/pt-br/match/2204750
2021-03-07,Corinthians,1,1,Internacional,0.58,0.42,20,7,9,3,0.52,0.48,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204751
2021-03-07,América-MG,2,0,Santos,0.27,0.73,8,21,4,8,0.55,0.45,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204747
2021-03-07,Athletico Paranaense,2,1,Fortaleza,0.41,0.59,16,15,8,4,0.49,0.52,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204748
2021-01-07,Cuiabá,0,2,Flamengo,0.43,0.57,9,12,2,5,0.51,0.49,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204740
2021-01-07,Atlético-MG,4,1,Atlético-GO,0.46,0.54,19,7,9,3,0.49,0.51,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204741
2021-01-07,Red Bull Bragantino,0,0,Ceará,0.65,0.35,13,8,2,3,0.55,0.45,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204745
2021-06-30,Corinthians,0,0,São Paulo,0.41,0.59,10,8,3,3,0.52,0.48,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204739
2021-06-30,Juventude,2,0,Grêmio,0.3,0.7,11,13,5,3,0.43,0.57,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204744
2021-06-30,Santos,0,0,Sport Recife,0.68,0.32,13,8,1,2,0.53,0.47,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204746
2021-06-30,Bahia,3,4,América-MG,0.72,0.28,20,16,7,8,0.52,0.48,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204738
2021-06-30,Internacional,1,2,Palmeiras,0.67,0.33,16,14,5,6,0.54,0.46,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204743
2021-06-30,Fluminense,1,4,Athletico Paranaense,0.56,0.44,12,11,4,5,0.43,0.57,Estádio Raulino de Oliveira,Brasileirão Série A,/pt-br/match/2204737
2021-06-30,Fortaleza,3,2,Chapecoense,0.64,0.36,22,9,10,5,0.53,0.48,Castelão,Brasileirão Série A,/pt-br/match/2204742
2021-06-28,Atlético-GO,0,1,Red Bull Bragantino,0.42,0.58,12,12,2,5,0.42,0.58,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204729
2021-06-27,América-MG,1,1,Internacional,0.4,0.6,13,10,6,3,0.56,0.44,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204727
2021-06-27,Ceará,1,1,São Paulo,0.36,0.64,18,11,7,2,0.43,0.57,Castelão,Brasileirão Série A,/pt-br/match/2204730
2021-06-27,Santos,2,0,Atlético-MG,0.49,0.51,11,11,6,3,0.53,0.47,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204735
2021-06-27,Sport Recife,0,0,Cuiabá,0.44,0.56,8,12,1,3,0.55,0.45,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204736
2021-06-27,Athletico Paranaense,2,2,Chapecoense,0.62,0.38,18,12,5,5,0.59,0.41,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204728
2021-06-27,Grêmio,0,0,Fortaleza,0.58,0.42,18,15,5,6,0.5,0.51,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204732
2021-06-27,Palmeiras,3,2,Bahia,0.58,0.42,19,18,8,4,0.54,0.46,Allianz Parque,Brasileirão Série A,/pt-br/match/2204734
2021-06-27,Fluminense,1,1,Corinthians,0.46,0.54,15,10,5,4,0.54,0.46,São Januario,Brasileirão Série A,/pt-br/match/2204731
2021-06-27,Juventude,1,0,Flamengo,0.35,0.65,8,13,4,2,0.45,0.55,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204733
2021-06-24,Bahia,2,1,Athletico Paranaense,0.7,0.3,20,9,7,4,0.51,0.49,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204719
2021-06-24,Grêmio,2,2,Santos,0.47,0.53,19,6,6,3,0.49,0.52,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204724
2021-06-24,Ceará,2,1,Atlético-MG,0.33,0.67,16,16,8,6,0.55,0.45,Castelão,Brasileirão Série A,/pt-br/match/2204720
2021-06-24,Chapecoense,1,2,Internacional,0.53,0.47,11,25,5,11,0.56,0.44,Arena Condá,Brasileirão Série A,/pt-br/match/2204721
2021-06-24,Corinthians,2,1,Sport Recife,0.51,0.49,16,9,3,3,0.58,0.42,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204722
2021-06-24,América-MG,1,1,Juventude,0.54,0.46,12,8,2,3,0.53,0.47,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204717
2021-06-23,Atlético-GO,1,0,Fluminense,0.49,0.51,9,3,2,2,0.5,0.5,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204718
2021-06-23,Flamengo,2,1,Fortaleza,0.63,0.37,19,10,7,5,0.49,0.51,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204723
2021-06-23,Red Bull Bragantino,3,1,Palmeiras,0.47,0.53,12,17,6,5,0.45,0.55,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204725
2021-06-23,São Paulo,2,2,Cuiabá,0.66,0.34,17,5,7,3,0.46,0.54,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204726
2021-08-18,Cuiabá,0,1,Grêmio,0.53,0.47,10,7,2,3,0.55,0.45,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204710
2021-06-21,Atlético-MG,1,1,Chapecoense,0.67,0.33,14,13,2,1,0.53,0.47,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204708
2021-06-20,Juventude,1,0,Sport Recife,0.51,0.49,8,13,4,2,0.47,0.53,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204709
2021-06-20,Athletico Paranaense,2,1,Atlético-GO,0.49,0.51,12,10,3,3,0.5,0.5,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204707
2021-06-20,Fortaleza,1,1,Fluminense,0.63,0.37,16,4,2,3,0.53,0.47,Castelão,Brasileirão Série A,/pt-br/match/2204712
2021-06-20,Santos,2,0,São Paulo,0.38,0.62,11,8,5,1,0.56,0.44,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204716
2021-06-20,Internacional,1,1,Ceará,0.62,0.38,10,14,3,2,0.5,0.5,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204713
2021-06-20,Bahia,0,0,Corinthians,0.52,0.48,12,10,2,3,0.56,0.44,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204715
2021-06-20,Palmeiras,2,1,América-MG,0.58,0.42,15,12,6,5,0.52,0.48,Allianz Parque,Brasileirão Série A,/pt-br/match/2204714
2021-06-19,Flamengo,2,3,Red Bull Bragantino,0.68,0.32,20,9,9,4,0.5,0.5,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204711
2021-02-11,Athletico Paranaense,2,2,Flamengo,0.58,0.42,21,13,5,6,0.61,0.39,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204698
2021-06-17,Sport Recife,1,0,Grêmio,0.33,0.67,10,14,4,7,0.46,0.54,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204697
2021-06-17,Atlético-GO,0,0,Fortaleza,0.57,0.43,9,5,1,1,0.49,0.51,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204699
2021-06-17,Fluminense,1,0,Santos,0.29,0.71,9,18,5,8,0.47,0.53,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204702
2021-06-17,Ceará,1,2,Bahia,0.62,0.38,13,9,3,3,0.49,0.51,Castelão,Brasileirão Série A,/pt-br/match/2204700
2021-06-17,América-MG,0,0,Cuiabá,0.57,0.43,20,8,6,3,0.44,0.56,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204705
2021-06-16,Juventude,0,3,Palmeiras,0.42,0.58,11,13,2,5,0.47,0.53,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204704
2021-06-16,Corinthians,1,2,Red Bull Bragantino,0.42,0.58,5,21,2,5,0.5,0.51,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204701
2021-06-16,Internacional,0,1,Atlético-MG,0.58,0.42,11,6,1,2,0.45,0.55,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204703
2021-06-16,São Paulo,1,1,Chapecoense,0.52,0.48,13,7,3,3,0.59,0.41,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204706
2021-07-21,Cuiabá,2,1,Atlético-GO,0.56,0.44,20,9,7,3,0.5,0.51,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204690
2021-06-13,Bahia,0,1,Internacional,0.67,0.33,14,6,3,4,0.51,0.49,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204688
2021-06-13,Chapecoense,0,0,Ceará,0.38,0.62,8,14,3,6,0.44,0.56,Arena Condá,Brasileirão Série A,/pt-br/match/2204689
2021-06-13,Fortaleza,1,0,Sport Recife,0.59,0.41,13,5,7,0,0.49,0.51,Castelão,Brasileirão Série A,/pt-br/match/2204692
2021-06-13,Red Bull Bragantino,2,2,Fluminense,0.47,0.53,16,15,5,4,0.46,0.54,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204695
2021-06-13,Atlético-MG,1,0,São Paulo,0.42,0.58,9,5,2,0,0.57,0.43,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204687
2021-06-13,Flamengo,2,0,América-MG,0.65,0.35,20,9,6,1,0.52,0.48,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204691
2021-06-13,Grêmio,0,1,Athletico Paranaense,0.64,0.36,10,9,1,4,0.4,0.6,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204693
2021-12-06,Palmeiras,1,1,Corinthians,0.52,0.48,12,9,3,4,0.56,0.44,Allianz Parque,Brasileirão Série A,/pt-br/match/2204694
2021-12-06,Santos,0,0,Juventude,0.76,0.24,18,2,2,0,0.52,0.49,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204696
2021-11-23,Grêmio,2,2,Flamengo,0.51,0.49,18,12,8,6,0.53,0.47,Grêmio Arena,Brasileirão Série A,/pt-br/match/2204681
2021-06-06,Sport Recife,0,1,Atlético-MG,0.48,0.52,8,10,1,1,0.53,0.47,Ilha do Retiro,Brasileirão Série A,/pt-br/match/2204677
2021-06-06,Palmeiras,3,1,Chapecoense,0.67,0.33,17,6,4,4,0.52,0.48,Allianz Parque,Brasileirão Série A,/pt-br/match/2204683
2021-06-06,Juventude,0,3,Athletico Paranaense,0.59,0.41,13,11,1,5,0.58,0.42,Alfredo Jaconi,Brasileirão Série A,/pt-br/match/2204686
2021-06-06,Fortaleza,5,1,Internacional,0.52,0.48,14,5,8,3,0.54,0.46,Castelão,Brasileirão Série A,/pt-br/match/2204680
2021-06-06,América-MG,0,1,Corinthians,0.56,0.44,10,6,4,4,0.55,0.45,Estádio Raimundo Sampaio (Independência),Brasileirão Série A,/pt-br/match/2204682
2021-06-06,Fluminense,1,0,Cuiabá,0.44,0.56,8,10,3,4,0.43,0.57,São Januario,Brasileirão Série A,/pt-br/match/2204679
2021-05-06,Red Bull Bragantino,3,3,Bahia,0.61,0.39,24,9,6,3,0.57,0.43,Estádio Nabi Abi Chedid,Brasileirão Série A,/pt-br/match/2204684
2021-05-06,Santos,3,1,Ceará,0.57,0.43,15,6,5,3,0.48,0.52,Estádio Vila Belmiro (Urbano Caldeira),Brasileirão Série A,/pt-br/match/2204685
2021-05-06,Atlético-GO,2,0,São Paulo,0.38,0.62,9,14,4,3,0.44,0.56,Estádio Antônio Accioly,Brasileirão Série A,/pt-br/match/2204678
2021-05-30,Internacional,2,2,Sport Recife,0.57,0.43,11,8,4,5,0.44,0.56,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204675
2021-05-30,Athletico Paranaense,1,0,América-MG,0.57,0.43,11,14,5,4,0.52,0.48,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204667
2021-05-30,Chapecoense,0,3,Red Bull Bragantino,0.43,0.57,10,18,2,8,0.42,0.58,Arena Condá,Brasileirão Série A,/pt-br/match/2204671
2021-05-30,Corinthians,0,1,Atlético-GO,0.61,0.39,15,7,6,2,0.46,0.54,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204672
2021-05-30,Ceará,3,2,Grêmio,0.35,0.65,12,12,6,3,0.45,0.55,Castelão,Brasileirão Série A,/pt-br/match/2204670
2021-05-30,Flamengo,1,0,Palmeiras,0.62,0.38,14,12,10,5,0.55,0.46,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204674
2021-05-30,Atlético-MG,1,2,Fortaleza,0.55,0.45,13,18,4,5,0.48,0.52,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204668
2021-05-29,São Paulo,0,0,Fluminense,0.72,0.28,7,11,3,5,0.49,0.52,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204676
2021-05-29,Bahia,3,0,Santos,0.34,0.66,5,12,3,4,0.46,0.54,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204669
2021-05-29,Cuiabá,2,2,Juventude,0.6,0.4,14,7,2,3,0.52,0.48,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204673
